,Timewindow,Sentiment,Volume,TweetIds
36,22-September-2022 18:00:00-18:29:59,0.12101818181818182,11,"1573016761489727488,1573015798326730752,1573015446986846208,1573015225103794176,1573014967502217216,1573014697183510534,1573012863827857409,1573012105963646976,1573010868144570368,1573009812723732480,1573009703944462337"
37,22-September-2022 18:30:00-18:59:59,0.1333588235294118,17,"1573023926162432000,1573023815135002625,1573023411877875712,1573023136018493441,1573023016174469121,1573021876326371328,1573021787679752192,1573021696315240448,1573021569320112128,1573021335814799360,1573020915113562112,1573020893860839425,1573020636758552576,1573019670197698560,1573018292314599424,1573017542339297282,1573016779793657856"
38,22-September-2022 19:00:00-19:29:59,0.13657000000000002,10,"1573031381172891650,1573030899658145793,1573030876304252930,1573029289582362631,1573028057711267840,1573027353055612928,1573026984988319745,1573026862678233088,1573026814905024512,1573026776652996609"
39,22-September-2022 19:30:00-19:59:59,0.34050909090909093,11,"1573038986507210752,1573038148682121217,1573036690767507456,1573036143259664385,1573036011122470912,1573035883342999554,1573035574776430592,1573033255959494656,1573032378385240065,1573032334236200961,1573032012864458752"
40,22-September-2022 20:00:00-20:29:59,0.14980000000000002,10,"1573046946268254208,1573046497649762305,1573046147010142211,1573045848572940289,1573045240256151552,1573044993614581760,1573044432257298432,1573042111787991040,1573041750788411392,1573040460448366592"
41,22-September-2022 20:30:00-20:59:59,-0.05681249999999999,8,"1573053812470054912,1573053427441369088,1573052911138897920,1573052368350056449,1573050030948339712,1573049969656872960,1573048798854668288,1573047803240419328"
42,22-September-2022 21:00:00-21:29:59,0.18986,5,"1573062070060613633,1573058656249282564,1573056095752540162,1573055288004976642,1573054678480441347"
43,22-September-2022 21:30:00-21:59:59,-0.14708333333333334,6,"1573067816907214849,1573065601651810310,1573064481986715650,1573064465528004611,1573064158534406145,1573063594329214977"
44,22-September-2022 22:00:00-22:29:59,0.215225,12,"1573074601915338752,1573074311749025794,1573074183277662208,1573073925332160512,1573073727230705668,1573073532376190976,1573071063612882951,1573070454939607040,1573070410458988550,1573070074239410178,1573069819309690884,1573069761046511618"
45,22-September-2022 22:30:00-22:59:59,0.20065714285714284,7,"1573084421032476673,1573084114357743616,1573079728566960128,1573079650699546624,1573078067098095619,1573077955739549696,1573077950895104000"
46,22-September-2022 23:00:00-23:29:59,0.12522499999999998,8,"1573091385032712192,1573090346833149954,1573090146228097026,1573089468147531777,1573088686400733184,1573088141883367424,1573086923786264582,1573085419612291074"
47,22-September-2022 23:30:00-23:59:59,0.11024545454545454,11,"1573098657532219392,1573097367057977345,1573096273804148736,1573096212235952131,1573095197432496131,1573095112632147970,1573095045359624192,1573094971674083331,1573094187750359041,1573092408971214849,1573092278184415233"
48,23-September-2022 0:00:00-0:29:59,0.21044545454545452,11,"1573107300528975872,1573107222108073985,1573107079237500928,1573106862064558081,1573106634377015296,1573106515556302850,1573105955545710592,1573105930568437762,1573105350001278977,1573101852635308033,1573100356866871296"
49,23-September-2022 0:30:00-0:59:59,0.2828,8,"1573114713143230464,1573113573320048640,1573111854356111360,1573111552957612037,1573108146943545344,1573108102450524165,1573107853489061888,1573107603877646338"
50,23-September-2022 1:00:00-1:29:59,0.11530000000000001,2,"1573121980764651524,1573120755746873351"
51,23-September-2022 1:30:00-1:59:59,0.15813333333333338,6,"1573129778080747523,1573129468755021826,1573127153641988096,1573127082837962752,1573126627294412806,1573122588293083136"
52,23-September-2022 2:00:00-2:29:59,0.22549090909090908,11,"1573137172831551489,1573136862428147712,1573135782969483264,1573135140792016898,1573134346789199872,1573134225997537281,1573134198021541890,1573134095558787072,1573133531487895552,1573132597877784577,1573131089199366144"
53,23-September-2022 2:30:00-2:59:59,0.10597000000000001,10,"1573144671437688833,1573144551509958659,1573144368868986880,1573143711177142273,1573142112945700864,1573139091209785345,1573138519253749760,1573137927646941186,1573137898022502401,1573137880309964802"
54,23-September-2022 3:00:00-3:29:59,0.13106666666666666,6,"1573152206446297088,1573151130393411584,1573150874545057797,1573149970353786880,1573149290188472419,1573148297329610752"
55,23-September-2022 3:30:00-3:59:59,0.1698111111111111,9,"1573160219437301760,1573157690230345728,1573156653557743616,1573154700777635840,1573154049180028928,1573153239406706689,1573153058275696647,1573152922321534980,1573152808664240128"
56,23-September-2022 4:00:00-4:29:59,-0.062459999999999995,5,"1573166762408824833,1573166276100472832,1573164303569633280,1573162499872292864,1573160916950081536"
57,23-September-2022 4:30:00-4:59:59,-0.00545000000000001,4,"1573174663316140032,1573172886688641024,1573172658275229697,1573170708988977152"
58,23-September-2022 5:00:00-5:29:59,0.12408749999999999,8,"1573182079965499392,1573180689058779136,1573180478596993024,1573180273377906688,1573179737643651072,1573179565467660289,1573179397804269572,1573176704465768450"
59,23-September-2022 5:30:00-5:59:59,0.34537777777777773,9,"1573190341687123968,1573189371322585088,1573188753237381120,1573188379910733826,1573186962277662721,1573184741284757504,1573184716542443521,1573183938037780481,1573183168227823617"
60,23-September-2022 6:00:00-6:29:59,0.10533529411764707,17,"1573197585028124673,1573196423197511681,1573196350287941632,1573195921906860033,1573194523404025856,1573194357414703106,1573192808940376064,1573192609321078784,1573192566631276545,1573192475216433153,1573191897228709890,1573191325251473408,1573191309438980097,1573191095093268480,1573190557114966017,1573190518787407872,1573190425950621697"
61,23-September-2022 6:30:00-6:59:59,0.03652000000000002,5,"1573203012599910402,1573201991563870208,1573200870963138563,1573200721310269441,1573198106912604161"
62,23-September-2022 7:00:00-7:29:59,0.4305,10,"1573212689916170240,1573210953843605504,1573210548959055873,1573207051962040321,1573206159896743939,1573205956246523904,1573205877020151809,1573205874407100417,1573205872876068864,1573205871647199232"
63,23-September-2022 7:30:00-7:59:59,0.2018142857142857,7,"1573219712036634626,1573219509305053185,1573219483095019521,1573219168417349633,1573217605426761729,1573216153320804357,1573214005136605184"
64,23-September-2022 8:00:00-8:29:59,0.21841666666666668,12,"1573226519899639809,1573222904879276032,1573222526502715392,1573221981138391041,1573221845456805889,1573221485208113153,1573221434838614017,1573221381445132288,1573221311194996737,1573221032307355648,1573220754749100035,1573220624201383936"
65,23-September-2022 8:30:00-8:59:59,-0.23024,5,"1573232708041465856,1573232530161270784,1573232159040610304,1573228746437709825,1573228636416913412"
66,23-September-2022 9:00:00-9:29:59,0.3042,3,"1573241030698221569,1573239402406748161,1573235951379292162"
67,23-September-2022 9:30:00-9:59:59,0.2151125,8,"1573250072397103104,1573249670033412096,1573247801391284225,1573246050843885569,1573245402065047557,1573244296186183681,1573244041848037377,1573243272918552576"
68,23-September-2022 10:00:00-10:29:59,0.0,0,
69,23-September-2022 10:30:00-10:59:59,-0.13271000000000002,10,"1573265800403849218,1573265784255700994,1573263659874553857,1573262486316490752,1573262265163616256,1573261485962559488,1573260003598802944,1573259764531863552,1573259754243244032,1573259657736589314"
70,23-September-2022 11:00:00-11:29:59,0.21112857142857142,7,"1573272972546252801,1573272787409567744,1573272584426520576,1573272398610194432,1573270970281955328,1573270202745327616,1573268774320578561"
71,23-September-2022 11:30:00-11:59:59,0.1908818181818182,11,"1573280768784486400,1573279793755426816,1573279579095048192,1573279131386925056,1573278197499961345,1573277456642998272,1573276699588169728,1573274742567669760,1573274351746666496,1573274104790241282,1573273747259367425"
